code,product_name,brands,categories,ingredients_text,quantity
8901030957048,Gluta hya dewy radicance,Vaseline,Skin care,"WATER, DIMETHICONE, ISOHEXADECANE, NIACINAMIDE, GLYCER GLUTATHIONE, CYSTINE, GLYCINE, SODIUM PCA, SODIUM HYALURONATE PETROLATUM, CARBOMER, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER PHENOXYETHANOL, METHYLPARABEN, DISODIUM EDTA, TITANIUM DIOXIDE SODIUM HYDROXIDE, FRAGRANCE, BENZYL ALCOHOL, CITRONELLOL, GERANOL HEXYL CINNAMAL, LIMONENE, LINALOOL. SKIN LOTION. MADE IN INDIA. MKTD. BY LIC. USER HINDUSTAN UNILEVER LIMITED (HUL). HUL 2023. VASELINE IS THE REGISTERED TRADE MARK OF UNILEVER PL MFG. BY L.B.C.P., UNIT I HARIDWAR 249 403, UTTARAKHAND. M 16/C/UA/2010. 62727085 8 901030 957048&quot;&gt; HUL REGN. No. BO-13-000-07-AAACQUA MINIMUM THICKNESS OF THE PACKAGIN 350 MICRON. *MRP (INCL. OF ALL TAXES), USP, #MFD B. NO. & @USE BEFORE SEE CODING AREA. LEVERCARE-QUERY/FEEDBACK TOLL FREE: 1800-10-22-221 PO BOX 14760, MUMBAI 400 LEVER.CARE@UNILEVER.COM Not Vol. When Packed",200ml
0840026684293,Hydra Vizor Huez,Fenty Skin,Skin care,,50ml
3574661685977,hand cream,Neutrogena,"Hand creams, skin care","Aqua, Glycerin, Cetearyl Alcohol, Sodium Cetearyl Sulfate, Ethylhexylglycerin, Caprylyl Glycol, Palmitic Acid, Stearic Acid, Disodium Phosphate, Potassium Phosphate, Tocopherol, Tocopheryl Acetate.",50ml
0722510026003,Healthy Feet Cream,O’Keefes,"Incorrect product type, Foot creams, Lotion, Moisturizer, Skin, Skin Care, moisturizers, non-food-products, open-beauty-facts","WATER, GLYCERIN, STEARIC ACID, SODIUM HYDROXIDE, ALLANTOIN, PARAFFIN HYDROXYPROPYL METHYLCELLULOSE, OCTYLDODECYL STEARATE, DIAZOLIDINYL UREA 100OPROPYNYL BUTYLCARBAMATE, ACRYLATES/ACRYLAMIDE COPOLYMER, MINERAL OIL, POLYSORBATE 85 Questions/Comments: 1-800-275-2718 www.OKeeffesCompany.com ©2019 Manufactured by: O'Keeffe's Company 2101 E. Kemper Road, Cincinnati, OH 45241 Made in USA with Domestic and Imported Materials GUARANTEE: If you're not fully satisfied, we'll refund 100% of the purchase price. Simply return the unused portion and your receipt to: O'Keeffe's Company. 100163","2.7oz, 76g"
4550668265885,RETINOL SKIN CREAM,RETINOL,"Day and night creams, Skin Care, Skin cream","INGREDIENTS (INCI): WATER, BUTYLENE GLYCOL, MINERAL OIL, CETEARYL ALCOHOL, GLYCERIN, ISOPROPYL PALMITATE, SACCHAROMYCES/RICE FERMENT FILTRATE, SODIUM PCA, ARGININE, ASPARTIC ACID, GLYCINE SOJA (SOYBEAN) GERM EXTRACT, PROPANEDIOL, PCA, GLYCINE, ALANINE, ROYAL JELLY EXTRACT, SERINE, VALINE, ISOLEUCINE, THREONINE, PROLINE, HISTIDINE, PHENYLALANINE, PLATINUM POWDER, ROSA DAMASCENA FLOWER WATER, HYDROLYZED ELASTIN, HYDROLYZED COLLAGEN, SODIUM HYALURONATE, RETINOL, GOLD, SILVER, PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE, CERAMIDE NP, CERAMIDE AP, PHYTOSPHINGOSINE, CERAMIDE EOP, SODIUM LACTATE, 1,2-HEXANEDIOL, SODIUM BICARBONATE, CHOLESTEROL, DIMETHICONE, CARBOMER, XANTHAN GUM, CELLULOSE GUM, GLYCERYL STEARATE SE, POLYSORBATE 60, HYDROGENATED PALM GLYCERIDES, SODIUM LAUROYL LACTYLATE, HYDROGENATED LECITHIN, POLYSORBATE 20, POLYGLYCERYL-10 LAURATE, POTASSIUM HYDROXIDE, TOCOPHEROL, MAGNESIUM ASCORBYL PHOSPHATE, UBIQUINONE, DISODIUM EDTA, CYCLODEXTRIN, PHENOXYETHANOL, METHYLPARABEN, FRAGRANCE",
0194346056125,Tahitian Vanilla Shea Sugar Scrub,Vanilla Extract and Evening Primrose Oil,"Incorrect product type, Skin-care, non-food-products, open-beauty-facts","Sucrose, Glycerin, Polysorbate 20, Silica, Butyrospermum Parkii (Shea) Butter, Oenothera Biennis (Evening Primrose) Oil, Macadamia Ternifolia Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Vanilla Planifolia Fruit Extract, Water, Gardenia Florida Fruit Extract, Cocos Nucifera (Coconut) Shell Powder, Tocopheryl Acetate (Vitamin E), Phenoxyethanol, Ethylhexylglycerin, Yellow 5 (CI 19140), Red 40 (CI 16035), Fragrance",18 oz
0974140028395,Aquaphor ointment body spray,Aquaphor,Skin care,Butane,3.7 oz. 105 grams
8906005274342,Cetaphil Moisturising Lotion,Cetaphil,Skin care,"GALPERAL Cetaphil® 
Avocado Oil 
Essential Vitamins E & B3
Pro vitamin B5",25 ML
8904417306521,Sali-cinamide Anti-acne Serum,The derma co,"Skin, Skin care","Purified Water, Propanediol, Niacinamide, Ethoxydiglycol, Butylene Glycol & Rosa Canina Fruit Extract, PEG-8, Salicylic Acid, Isostearamidopropyl Ethyldimonium Ethosulfate, Sodium Hydroxide, Propylene Glycol, Olea Europaea (Olive) Fruit Oil, Carthamus Tinctorius (Safflower) Seed Oil, Salicylic Acid, Glycerine, Isoamyl Laurate, Alpha Arbutin, Willow Bark Extract, Centella Asiatica Extract, Allantoin, Hydroxyethyl Cellulose, Sodium Hyaluronate, Xylitylglucoside (and) Anhydroxylitol (and) Xylitol, Triethanolamine, Phenoxyethanol (and) Ethylhexylglycerin.",30 ml
6297811169055,BioCare Aloe Vera,BioCare,"Face care gel, Skin care, non-food-products, open-beauty-facts","Aqua Carbomer, Glycerin, Propylene Glycol, Aloe Barbadensis, Triethanolamine, Perfume, C.I. 61570, E.D.T.A, Sodium Benzoate, Methyl Paraben, Isobutyl Paraben.",
0090443156556,cerave renewing SA cleanser,cerave,skin care,,
0871760007550,Piña Colada Lip Balm,Sun Bum Coco Balm,"Natural-lip-balm, Skin Care, non-food-products, open-beauty-facts","(helianthus annuus) Sunflower seed oil, (ricinus communis) Castor seed oil, Beeswax, (cocos nucifera) Coconut oil, (euphocbia cerifera) Candelilla wax, Flavour, Tocopherol, (copernicia cerifera) Carnauba wax, (simmondsia chinensis) Jojoba seed oil, Aloe (barbadensis) leaf extract, (theobroma cacao) Cocoa seed butter, (butyrospermum parkii) Shea butter.",4.25 g   (Net Wt. 0.15 oz)
0681131248600,Lotion,Equate beauty,Skin care,,
8961014250732,light moisturizer,ponds,skin care,,75 gm
5060391843353,dr.organic,skin clear,skin care,"Aqua, aloe barbadensis leaf juice, alcohol denat",200 ml
3760098409389,Crème mains,De Saint Hilaire,skin care,"Cistus Ladaniferus Leaf/Stem Water*, Lavandula Angustifolia Flower Water*, Butyrospermum Parkii Butter*, Glycerin*, Simmondsia Chinensis Seed Oil*, Macadamia Ternifolia Seed Oil*, Cetearyl Alcohol/Cetearyl Glucoside, Cera Alba*, Benzyl Alcohol/Dehydroacetic Acid/Aqua, Sodium Stearoyl Lactylate, Xanthan Gum, Cymbopogon Martini Oil*, Geraniol°, Citral°, Linalool°.",50 ml
4005900133342,NIVEA CREME DARK SPOT REDUCTION,Nivea,"face care, non-food-products, open-beauty-facts","NIVEAⓇ MEN DARK SPOT# REDUCTION CREME A breakthrough in skincare specifically developed for men's skin. It contains UV filters and licorice extracts that reduce dark spots. It is extra light, non-greasy and fast absorbing. SKIN COMPATIBILITY DERMATOLOGICALLY APPROVED SKIN CREAM. INGREDIANTS: Aqua, Glycerin, Isopropyl Palmitate, Cetearyl Alcohol, Alcohol Denat. 3.7% v/v, C12-15 Alkyl Benzoate, Butyl Methoxydibenzoyl - methane, Distarch Phosphate, Glyceryl Stearate, Octocrylene, Glycyrrhiza Glabra Root Extract, Polyglyceryl-10 Stearate, Dimethicone, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Trisodium EDTA, Sodium Hydroxide, Phenoxyethanol, Ethylhexylglycerin, Limonene, Linalool, Coumarin, Alpha-Isomethyl Ionone, Parfum. Imported by: NIVEA India Pvt Ltd, 4th Floor, AGH, Phoenix Market City, Kurla (W), Mumbai, Maharashtra - 400070. RC No. COS052/13. Query/Feedback: Contact NIVEA CARE Executive at above address or :(022)62487999, care@beiersdorf.com.For Batch No., MFD. (P) & Use Before (E): See Pack. Manufactured by: Beiersdorf Manufacturing Hamburg GmbH, Troplowitzstraße 10, 22529 Hamburg, Germany. MRP (Incl. of all Taxes): *255.00, USP: *3.40/ml Net Content #Dark spots accumulated from dirt & residues. (When Packed): Beiersdorf 75ml (75.2g) 12M 4 005900133342 Hamburg =reg. tm. of Beiersdorf AG Beiersdorf AG, D-20245 Hamburg ALU www.NIVEAMEN.IN Art. No. 83927 83927.498.DB.01",75
0667550549023,Bath and body body lotion,Bath and body,"Incorrect product type, Body Care, Cosmetic products, non-food-products, open-beauty-facts",,236 ml
3141389959309,Vanilla milk body moisturizer,Cottage,moisturizers,,
0077043104736,St Ives Moisturizer,St. Ives,"Incorrect product type, Renewing Moisturizer, dietary-supplements, moisturizers, non-food-products, open-beauty-facts",,283
0019100127791,Moisturizer,Jergens,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
4800888223128,Pond's Healthy Hydration aloe Vera,Ponds,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,50ml
5060022308176,"one night only
one night only",st. tropez,"Incorrect product type, Moisturizer, moisturizers, non-food-products, open-beauty-facts","ate tan.
Ingredients/Ingredients:
Aqua (Water/Eau), Cyclopentasiloxane,
Glycerin, Hydrogenated Polyisobutene,
Sodium Acrylate/Sodium Acryloyldimethyl
Taurate Copolymer, PEG-60 Hydrogenated
Castor Oil, Trimethylsiloxysilicate.
Isohexadecane, Phenoxyethanol. Benzyl
Alcohol, Polysorbate 80, Disteardimonium
Hectorite, Parfum (Fragrance), Sodium
Gluconate, Mica, Propylene Carbonate,
Linalool, Hexyl Cinnamal, Benzyl Salicylate,
Butylphenyl Methylpropional, Citronellol,
Triethoxycaprylylsilane, Limonene, Geraniol,
Hydroxycitronellal, Alpha-somethyl lonone,
Anise Alcohol, Coumarin, CI 77492 (Iron
Oxides). CI 77499 (Iron Oxides), CI 77491
(Iron Oxides). CI 77891 (Titanium Dioxide).
Store below 30�C/86�F.
inforieure",3.38 FL oz
0019100109940,Jergens Original Scent Dry Skin Moisturizer,Jergens,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","water, glycerin, alcohol denat., cetearyl alcohol, stearic acid, glyceryl dilaurate, cetyl esters, dimethicone, lanolin oil, fragrance, arginine, sodium hydroxide, acrylates/c10-30 alkyl acrylate crosspolymer tocopheryl acetate, methylparaben, phenoxyethanol ethylparaben. questions or comments? jergens skincare experts are always at your fingertips: www.jergens.com or call 1-800-742-8798 10994-0-321 jergens is a trademark of kao corp.",
0761736170060,Joelle Monet -Ageless Moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","water, cetyl alcohol, sodium camellia sinesis leaf extract, sodium protein, tripeptide-10 citrulline, tripeptide-1, blemishes, apply a large pea-sized amount of lecithin, xanthan gum, carbomer, vitarmin a), ascorbic acid (vitamin c), glycol, spilanthes acmella flower extract directions: for the appearance of diminshed carboxymethyl betaglucan, retinol palmate stearate, capric triglyceride, jojoba seed o sodium acrylate copolymer, mineral on,  trideceth-6, d-panthenol, ergothioneine, tocopherol acetate, phenoxyethandl, eihylhexylglycerine, sodium edta, potassum sorbate, pseudoalteromonas ferment extract, of diminshed appearance ormula to the dni as ion",
01133479,moisturizer,mamaearth,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","Ingredients overview

Aqua, Cetearyl Octanoate, Neopentyl Glycol Diheptanoate, Glyceryl Stearate Citrate, Glyceryl Dibehenate, Cetostearyl Alcohol, Methyl Glucose Sesquistearate, Dicaprylyl Carbonate, Glycerin, Propanediol, Apple Cider Vinegar, Pentaerythrityl Distearate, Betaine, Methyl Methacrylate Crosspolymer, Sodium Benzoate, Potassium Sorbate, Diethylhexyl Carbonate, Xanthan Gum, Acrylates/​C10-30 Alkyl Acrylate Cross Polymer, Natural Fragrance

[less]

Read more on how to read an ingredient list &gt;&gt;",80g
09753215,joelle monet-Ageless Moisturizer renew & revive,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","purified water, propylene glycol usr organic aloe vera juice, isopropyl myristate, polysorbate 80, hexapeptide-8, retinyl palmitate, cetearyl alchohol nf, cetyl alcohol nf, ceteareth-20 glyceryl stearate, phenoxyethanol, caprylyl glycal ethylhexylglycerin, disodium edta.",
9315937063273,cutan skin moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","aqua, dicaprylyl ether, cetearyl alcohol, acrylates copolymer, glycerin, ceteareth-20, phenoxyethanol, butyrospermum parkii (shea butter), diazolidinyl urea, sodium hydroxide, allantoin, tetra sodium iminodisuccinate b2804210 bb:04/2024 stock code csm400ml ental environe choice australia ✪✪ 3 hdpe made in australia 315937 deb pk 10897 la5639 063273",
8719327312872,mudmasky serum infused moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts","ingredients aqua (water) helianthus annuus inflower) seed of coco caprylate/caprate, glyce roxyethyl acrylate/sodium acryloyldimethyl t polymer prunus ygdalus dulcis (sweet almond loe barbadensis leaf juice mangifera indica (man extract, actinea chinenus gew) fruit extract malus (apple) fruit extract dehydroacetic acd ysorbate 60 benzyl alcohol isohexadecane, som sostearate, tocopherol, sodium hydroxide, sodu benzoate potassium sorbate,  citric acid 40ml/1,35 fl, oz,",
0381370035725,Dual Action Moisturizer,Clean & Clear,"Incorrect product type, Face-moisturizer, moisturizers, non-food-products, open-beauty-facts","Water, Dicaprylyl Ether, Cetearyl Alcohol, Glycerin, Neopentyl Glycol Diethylhexanoate, Dimethicone, Methyl Gluceth-20, Menthyl Lactate, Aluminum Starch Octenylsuccinate, Ceteth-10 Phosphate, Dicetyl Phosphate, Steareth-20, Steareth-2, Neopentyl Glycol Disostearate, Fragrance, Sodium Hydroxide, Hydrogenated Lecithin, Xanthan Gum, Magnesium Aluminum Silicate, Disodium EDTA, BHT, Titanium Dioxide",
4800067642696,Skin Moisturizer,Apollo Sebo De Macho,"Incorrect product type, Ointment Cream, moisturizers, non-food-products, open-beauty-facts",Muttons Tallow,25 g
0810082870626,Everyday Vulva Moisturizer with Organic Botanicals,FORIA,"Incorrect product type, Skin-lotion, moisturizers, non-food-products, open-beauty-facts","Helianthus Annuus (Sunflower) Seed Oil*, Caprylic/Capric Triglyceride (MCT Coconut Oil)*, Cucurbita Pepo (Pumpkin) Seed Oil*, Cocos Nucifera (Coconut) Oil*, Hippophae Rhamnoides (Sea Buckthorn) Fruit Oil*, Oryza Sativa (Rice) Bran Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Seed Extract, Tocopherol (Vitamin E) (*ORGANIC)",
9341053008539,Phyto-Active face moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
5059018044402,Moisturizer with avocado oil,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
0850026819076,Customized Active Moisturizer Day Dermatologist Formulated Niacinamide 2.0% Oil-Free 1 Oz. | 30 mL,MDacne,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
8904299303915,pellis moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
3700194700539,Ultra Facial Moisturizer,Kiehl's,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
8683923344097,MOISTURIZER & REPAIR FOAM,ELITHAIR,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,100ml
6291069700435,DermoViva Moisturizer avocado 140ml,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
0721405593569,Organic Booda Butter Daily Moisturizer,Booda,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
5012251013437,beauty formulas moisturizer Retinol Anti-ageing,Skin care,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,200g
0753182230917,Organic Booda Butter Daily Moisturizer,Booda,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
4260546840904,Good MorningAnti-Wrinkle Moisturizer,Spilanthox therapy,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,1pcs
0381370023401,Advantage Acne Control Moisturizer,Clean & Clear,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
5060565106246,retinol moisturizer SPF 30,REVUELE,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,40 ml
0071249339190,Hydra Genius Daily Liquid Care Moisturizer,L'Oréal,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
8906147701010,Dotandkey moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,25ml
4809012902045,iWhite Korea Aqua Moisturizer Tube 50ml,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
0028367840640,Pomegranate  Acai Moisturizer,,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
6957148425582,Bioaqua,moisturizer mask,"Incorrect product type, moisturizers, non-food-products, open-beauty-facts",,
3401395376935,Purifying cleansing micellar water,Bioderma,Micellar water,"WATER, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, SODIUM CITRATE, ZINC GLUCONATE, COPPER SULFATE, GINKGO BILOBA LEAF EXTRACT, MANNITOL, XYLITOL, RHAMNOSE, FRUCTOOLIGOSACCHARIDES, PROPYLENE GLYCOL, CITRIC ACID, DISODIUM EDTA, CETRIMONIUM BROMIDE, FRAGRANCE (PARFUM). [BI 442]",100 ml
6291107227818,Himalaya Sivilce Karşıtı Neem Özlü Arındırıcı Yüz Yıkama Jeli,Himalaya,Cleansers,,150 ml
8901138500061,Освежающий гель для умывания Himalaya Herbals,Himalaya,Cleansers,"Aqua, Ammonium Lauryl Sulfate, Citrus Medica Limonum Fruit Extract, Cocamidopropyl Betaine, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Glycerin, Honey, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Parfum, Phenoxyethanol, Sodium Hydroxide, Hydrogenated Jojoba Oil, Citric Acid, Sodium Metabisulfite, Methylchloroisothiazolinone, Methylisothiazolinone, Disodium EDTA",150 мл
4049639449503,M.Asam Clear Skin Yüz Temizleme Jeli,M.Asam,Cleansers,"Aqua, Aloe Barbadensis Leaf Juice, Sodium Laureth Sulfate, Glycerin, Cocamidopropyl Betaine, Sodium Chloride, Glycolic Acid, Sodium Salicylate, Vitis Vinifera Seed Extract, Menthol, Parfum, Sodium Gluconate, Sodium Hydroxide, Citric Acid, Sodium Benzoate, Potassium Sorbate",200 ml
8684252215560,Authoriderm Pantenol %9 Arındırıcı ve Canlandırıcı Yüz Temizleme Jeli,Authoriderm,Cleansers,"Aqua, Panthenol, Cocamidopropyl Betaine, Lauryl Glucoside, Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamide MEA, Aloe Barbadensis Leaf Juice, Niacinamide, Phenoxyethanol, Argania Spinosa Kernel Oil, Tetrasodium EDTA, Ethylhexylglycerin, Sodium Benzoate, Potassium Sorbate, Citric Acid, Sodium Hydroxide",200 ml
8684438670206,Mia Klinika Yağlı ve Sivilceli Ciltler İçin Yüz Yıkama Jeli,Mia Klinika,Cleansers,,200 ml
8684438670046,Mia Klinika Hassas ve Kuru Ciltler İçin Yüz Yıkama Jeli,Mia Klinika,Cleansers,,200 ml
4040943005324,Janssen Cosmetics Aydınlatıcı ve Temizleyici Losyon,Janssen Cosmetics,Cleansers,"Aqua, Octyldodecanol, C12-15 Alkyl Benzoate, Butylene Glycol, Steareth-2, Glyceryl Stearate, Steareth-21, Cetearyl Alcohol, Ethylhexylglycerin, Morus Alba Root Extract, Helianthus Annuus Seed Oil, Glycerin, Xanthan Gum, Caprylyl Glycol, Citric Acid, Sodium Hydroxide, Tocopherol, Tetrasodium Glutamate Diacetate, Caprylhydroxamic Acid, Parfum, Hexyl Cinnamal, Benzyl Salicylate, Phenoxyethanol, Sodium Benzoate",200 ml
8684225891937,Thalia Salisilik Asit Yüz Temizleme Jeli,Thalia Natural Beauty,Cleansers,"Aqua, Coco-Glucoside, Cocamidopropyl Betaine, Triethanolamine, Glycerin, Salicylic Acid, Disodium Cocoyl Glutamate, Glyceryl Oleate, Benzyl Alcohol, Niacinamide, PEG-12 Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Cocoyl Glutamate, Centella Asiatica Extract, Ceramide NP, Panthenol, Inulin, Dehydroacetic Acid, Tetrasodium EDTA, PEG-7 Glyceryl Cocoate, Sodium Benzoate, Citric Acid, Fructose, Tocopheryl Acetate, Phenoxyethanol",200 ml
8684225891951,Thalia Bisabolol Yüz Temizleme Jeli,Thalia Natural Beauty,Cleansers,"Aqua, Coco-Glucoside, Cocamidopropyl Betaine, Triethanolamine, Glycerin, Disodium Cocoyl Glutamate, Glyceryl Oleate, Benzyl Alcohol, PEG-12 Dimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Cocoyl Glutamate, Ceramide NP, Bisabolol, Panthenol, Dehydroacetic Acid, Saccharide Isomerate, Tetrasodium EDTA, PEG-7 Glyceryl Cocoate, Sodium Benzoate, Ethoxydiglycol, Citric Acid, Tocopheryl Acetate, Propylene Glycol, Diazolidinyl Urea, Sodium Citrate, Rosa Centifolia Flower Oil, Phenoxyethanol, Iodopropynyl Butylcarbamate",200 ml
8699490318553,Thalia Marjoram Yağı & Çay Ağacı Yüz Temizleme Jeli,Thalia Natural Beauty,Cleansers,"Aqua, Disodium Laureth Sulfosuccinate, Coco-Glucoside, Sodium Methyl Oleoyl Taurate, Disodium Cocoamphodiacetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glycerin, Benzyl Alcohol, Parfum, PEG-12 Dimethicone, Origanum Majorana Leaf Oil, Panthenol, Melaleuca Alternifolia Leaf Oil, Dehydroacetic Acid, Tetrasodium EDTA, Tocopheryl Acetate, Citric Acid, Triethanolamine, Limonene, Linalool, Citral",200 ml
